year,month,hourly_wage_usd
2024,12,51.28
2024,11,51.29
2024,10,51.19
2024,9,50.57
2024,8,50.44
2024,7,49.99
2024,6,49.71
2024,5,49.47
2024,4,49.43
2024,3,49.37
2024,2,49.14
2024,1,49.1
2023,12,49.1
2023,11,48.92
2023,10,48.68
2023,9,48.59
2023,8,48.37
2023,7,48.47
2023,6,48.36
2023,5,48.33
2023,4,48.06
2023,3,48.14
2023,2,47.95
2023,1,47.75
2022,12,47.66
2022,11,47.31
2022,10,47.58
2022,9,47.88
2022,8,47.24
2022,7,46.7
2022,6,46.54
2022,5,46.24
2022,4,45.88
2022,3,45.44
2022,2,45.37
2022,1,45.09
2021,12,44.92
2021,11,44.57
2021,10,44.46
2021,9,44.44
2021,8,44.42
2021,7,44.46
2021,6,44.34
2021,5,44.34
2021,4,44.39
2021,3,44.03
2021,2,44.59
2021,1,44.38
2020,12,44.23
2020,11,44.52
2020,10,44.59
2020,9,43.9
2020,8,44.16
2020,7,44.29
2020,6,43.46
2020,5,43.74
2020,4,43.79
2020,3,43.07
2020,2,42.93
2020,1,42.86
2019,12,42.69
2019,11,42.64
2019,10,42.34
2019,9,42.22
2019,8,42.94
2019,7,42.23
2019,6,42.01
2019,5,41.98
2019,4,41.82
2019,3,42.08
2019,2,41.73
2019,1,41.71
2018,12,41.54
2018,11,41.14
2018,10,40.88
2018,9,40.62
2018,8,40.16
2018,7,39.79
2018,6,39.82
2018,5,39.62
2018,4,39.45
2018,3,39.32
2018,2,39.15
2018,1,38.95
2017,12,38.85
2017,11,38.66
2017,10,38.59
2017,9,38.55
2017,8,38.6
2017,7,38.68
2017,6,38.49
2017,5,38.18
2017,4,38.06
2017,3,37.6
2017,2,37.63
2017,1,37.54
2016,12,37.52
2016,11,37.43
2016,10,37.49
2016,9,37.01
2016,8,36.77
2016,7,36.62
2016,6,36.52
2016,5,36.57
2016,4,36.25
2016,3,36.11
2016,2,36.28
2016,1,36.05
2015,12,35.86
2015,11,35.77
2015,10,35.55
2015,9,35.39
2015,8,35.32
2015,7,35.0
2015,6,34.94
2015,5,34.89
2015,4,34.74
2015,3,34.69
2015,2,34.64
2015,1,34.53
2014,12,34.42
2014,11,34.39
2014,10,34.29
2014,9,34.41
2014,8,34.32
2014,7,34.26
2014,6,34.09
2014,5,33.94
2014,4,33.88
2014,3,33.68
2014,2,33.44
2014,1,33.4
2013,12,33.43
2013,11,33.39
2013,10,33.28
2013,9,33.14
2013,8,32.91
2013,7,32.83
2013,6,32.98
2013,5,32.72
2013,4,32.76
2013,3,32.63
2013,2,32.5
2013,1,32.47
2012,12,32.2
2012,11,31.85
2012,10,31.8
2012,9,31.76
2012,8,31.67
2012,7,31.87
2012,6,31.8
2012,5,31.84
2012,4,31.69
2012,3,31.61
2012,2,31.65
2012,1,31.64
2011,12,31.66
2011,11,31.64
2011,10,31.66
2011,9,31.38
2011,8,31.72
2011,7,31.57
2011,6,31.52
2011,5,31.56
2011,4,31.67
2011,3,31.76
2011,2,31.52
2011,1,31.49
2010,12,31.05
2010,11,31.25
2010,10,31.16
2010,9,30.99
2010,8,30.71
2010,7,30.54
2010,6,30.45
2010,5,30.26
2010,4,30.14
2010,3,30.15
2010,2,30.13
2010,1,29.89
